age,age_group_18-25,age_group_25-35,age_group_35-45,age_group_45-55,age_group_55-65,age_group_65+,campaign,campaign_log,cellular_contact,contact_cellular,contact_telephone,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,default_no,default_unknown,default_yes,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,euribor3m,first_contact,high_contact_count,high_success_month,housing_no,housing_unknown,housing_yes,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,loan_no,loan_unknown,loan_yes,marital_divorced,marital_married,marital_single,marital_unknown,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,nr.employed,pdays,poutcome_failure,poutcome_nonexistent,poutcome_success,previous,previous_log,previous_success,previously_contacted,retired_or_student,y
32,0,1,0,0,0,0,1,0.6931471805599453,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.858,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
32,0,1,0,0,0,0,4,1.6094379124341003,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4.964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
27,0,1,0,0,0,0,5,1.791759469228055,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1.266,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
35,0,1,0,0,0,0,1,0.6931471805599453,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4.866,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
41,0,0,1,0,0,0,2,1.0986122886681098,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.857,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
45,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.968,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
45,0,0,1,0,0,0,2,1.0986122886681098,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.961,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
44,0,0,1,0,0,0,4,1.6094379124341003,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.966,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
51,0,0,0,1,0,0,9,2.302585092994046,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4.967,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
50,0,0,0,1,0,0,3,1.3862943611198906,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4.968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
41,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4.076,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
29,0,1,0,0,0,0,1,0.6931471805599453,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.961,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
44,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1.291,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
30,0,1,0,0,0,0,4,1.6094379124341003,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
39,0,0,1,0,0,0,2,1.0986122886681098,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.964,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
39,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.967,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
50,0,0,0,1,0,0,3,1.3862943611198906,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4.961,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
43,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.967,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
36,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.291,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
80,0,0,0,0,0,1,1,0.6931471805599453,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.722,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5017.5,999,0,1,0,0,0.0,0,0,1,
36,0,0,1,0,0,0,2,1.0986122886681098,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4.857,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
29,0,1,0,0,0,0,2,1.0986122886681098,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.962,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
48,0,0,0,1,0,0,5,1.791759469228055,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.96,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
51,0,0,0,1,0,0,4,1.6094379124341003,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.291,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
30,0,1,0,0,0,0,3,1.3862943611198906,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.883,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4963.6,6,0,0,1,1,0.6931471805599453,1,1,0,
24,1,0,0,0,0,0,2,1.0986122886681098,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
47,0,0,0,1,0,0,6,1.9459101490553132,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.966,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
36,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.966,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
37,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.859,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
31,0,1,0,0,0,0,1,0.6931471805599453,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.299,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
34,0,1,0,0,0,0,2,1.0986122886681098,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.965,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
69,0,0,0,0,0,1,3,1.3862943611198906,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.879,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4963.6,6,0,0,1,1,0.6931471805599453,1,1,1,
42,0,0,1,0,0,0,2,1.0986122886681098,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.191,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
34,0,1,0,0,0,0,3,1.3862943611198906,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4.962,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
48,0,0,0,1,0,0,1,0.6931471805599453,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.25,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
41,0,0,1,0,0,0,4,1.6094379124341003,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1.291,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
59,0,0,0,0,1,0,4,1.6094379124341003,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4.965,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
50,0,0,0,1,0,0,2,1.0986122886681098,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.021,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
36,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.299,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
38,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.857,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
44,0,0,1,0,0,0,1,0.6931471805599453,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4.857,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
35,0,1,0,0,0,0,2,1.0986122886681098,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.281,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
30,0,1,0,0,0,0,9,2.302585092994046,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.963,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
32,0,1,0,0,0,0,2,1.0986122886681098,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.968,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
53,0,0,0,1,0,0,5,1.791759469228055,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4.963,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
36,0,0,1,0,0,0,2,1.0986122886681098,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.635,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5008.7,999,1,0,0,4,1.6094379124341003,0,0,0,
61,0,0,0,0,1,0,5,1.791759469228055,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1.406,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
51,0,0,0,1,0,0,3,1.3862943611198906,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4.076,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
69,0,0,0,0,0,1,2,1.0986122886681098,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.423,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,1,
30,0,1,0,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.344,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
33,0,1,0,0,0,0,1,0.6931471805599453,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.964,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
53,0,0,0,1,0,0,3,1.3862943611198906,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.957,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
49,0,0,0,1,0,0,1,0.6931471805599453,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.344,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,0,1,0,0,0.0,0,0,0,
35,0,1,0,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.344,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
40,0,0,1,0,0,0,4,1.6094379124341003,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.857,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5191.0,999,0,1,0,0,0.0,0,0,0,
42,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1.281,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
41,0,0,1,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4.153,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
31,0,1,0,0,0,0,1,0.6931471805599453,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4.963,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5228.1,999,0,1,0,0,0.0,0,0,0,
40,0,0,1,0,0,0,3,1.3862943611198906,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.021,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5195.8,999,0,1,0,0,0.0,0,0,0,
53,0,0,0,1,0,0,2,1.0986122886681098,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1.281,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5099.1,999,1,0,0,1,0.6931471805599453,0,0,0,
